Gene_ID	Gene_Length	RiboZero_Ctrl	RiboZero_Rif	RiboZero_Chlo	DIY_Ctrl	DIY_Rif	DIY_Chlo	RiboZero_Ctrl_RPKM	RiboZero_Rif_RPKM	RiboZero_Chlo_RPKM	DIY_Ctrl_RPKM	DIY_Rif_RPKM	DIY_Chlo_RPKM
rna-b4825	113	2538	1018	3330	2380	456	5840	6578.71208553501	1743.71940020821	9111.1881631252	2183.63852227731	604.847721581145	3410.51249327987
rna-b4163	76	5703	2720	12344	7382	1704	31768	21979.4836261981	6927.27736076926	50217.0904673415	10070.3063443939	3360.59090737225	27584.2717649968
rna-b4164	76	5676	3420	13208	8068	2279	33064	21875.4250503771	8710.03256390841	53731.9613490478	11006.12728076	4494.59312083413	28709.5933529921
rna-b4165	76	2123	1452	4856	3547	1005	11986	8182.08727659452	3697.94364994006	19754.8761592199	4838.71262578777	1982.03865135511	10407.488081568
rna-b4270	85	1039	339	1746	1412	191	3447	3580.34047108149	771.947984095412	6350.88924998508	1722.25718270133	336.801557659593	2676.13241694185
rna-b4624	90	219	110	223	166	41	263	712.737010685295	236.568785686401	766.075510585893	191.2263837576	68.2811767564679	192.840602716485
rna-b4625	77	8	7	18	17	1	24	30.4317528134621	17.5960253816332	72.2754834982905	22.889717348547	1.94656506432756	20.5686485540273
rna-b4368	87	2231	1171	4063	4064	1100	10605	7511.1774720779	2605.22302230824	14438.989328176	4843.0246588547	1895.10414883384	8044.08519132682
rna-b4369	87	5717	3015	8723	9613	2225	22923	19247.6026929042	6707.72622737774	30999.5825522224	11455.7076883785	3833.27884650482	17387.5120076176
rna-b4370	87	3886	2270	5853	7033	1773	15754	13083.1177303876	5050.26153769402	20800.247240417	8381.14971105441	3054.56332352946	11949.6952479173
